     t       phi_c          AF          MA          CA          CN         CNQ         CLP         CMQ         XCP         XCG
  0.00        0.00        0.00        0.20        0.27        0.00       69.56      -18.92     -561.00        9.75        7.84
  0.01        0.00        5.41        0.20        0.33        2.76       69.56      -18.92     -561.00       10.49        7.84
  0.02        0.00        5.40        0.20        0.33        2.75       69.56      -18.92     -561.00       10.49        7.84
  0.03        0.00        5.38        0.20        0.33        2.74       69.56      -18.92     -561.00       10.49        7.84
  0.04        0.00        5.36        0.20        0.33        2.73       69.56      -18.92     -561.00       10.49        7.84
  0.05        0.00        5.34        0.20        0.33        2.72       69.56      -18.92     -561.00       10.49        7.84
  0.06        0.00        5.33        0.20        0.33        2.71       69.56      -18.92     -561.00       10.50        7.84
  0.07        0.00        5.31        0.20        0.33        2.70       69.56      -18.92     -561.00       10.50        7.84
  0.08        0.00        5.29        0.20        0.33        2.69       69.56      -18.92     -561.00       10.50        7.84
  0.09        0.00        5.27        0.20        0.33        2.67       69.56      -18.92     -561.00       10.50        7.84
  0.10        0.00        5.26        0.20        0.33        2.66       69.56      -18.92     -561.00       10.50        7.84
  0.11        0.00        5.24        0.20        0.33        2.65       69.56      -18.92     -561.00       10.50        7.83
  0.12        0.00        5.22        0.20        0.33        2.64       69.56      -18.92     -561.00       10.50        7.83
  0.13        0.00        5.20        0.20        0.33        2.63       69.56      -18.92     -561.00       10.50        7.83
  0.14        0.00        5.19        0.20        0.33        2.62       69.56      -18.92     -561.00       10.50        7.83
  0.15        0.00        5.17        0.20        0.33        2.61       69.56      -18.92     -561.00       10.50        7.83
  0.16        0.00        5.15        0.20        0.32        2.60       69.56      -18.92     -561.00       10.50        7.83
  0.17        0.00        5.13        0.20        0.32        2.58       69.56      -18.92     -561.00       10.50        7.83
  0.18        0.00        5.11        0.20        0.32        2.57       69.56      -18.92     -561.00       10.50        7.83
  0.19        0.00        5.10        0.20        0.32        2.56       69.56      -18.92     -561.00       10.51        7.83
  0.20        0.00        5.08        0.20        0.32        2.55       69.56      -18.92     -561.00       10.51        7.83
  0.21        0.00        5.06        0.20        0.32        2.54       69.56      -18.92     -561.00       10.51        7.83
  0.22        0.00        5.04        0.20        0.32        2.52       69.56      -18.92     -561.00       10.51        7.83
  0.23        0.00        5.02        0.20        0.32        2.51       69.56      -18.92     -561.00       10.51        7.82
  0.24        0.00        5.00        0.20        0.32        2.50       69.56      -18.92     -561.00       10.51        7.82
  0.25        0.00        4.98        0.20        0.32        2.49       69.56      -18.92     -561.00       10.51        7.82
  0.26        0.00        4.95        0.20        0.32        2.47       69.56      -18.92     -561.00       10.50        7.82
  0.27        0.00        4.93        0.20        0.32        2.46       69.56      -18.92     -561.00       10.50        7.82
  0.28        0.00        4.91        0.20        0.32        2.45       69.56      -18.92     -561.00       10.50        7.82
  0.29        0.00        4.89        0.20        0.32        2.43       69.56      -18.92     -561.00       10.49        7.82
  0.30        0.00        4.86        0.20        0.32        2.42       69.56      -18.92     -561.00       10.49        7.82
  0.31        0.00        4.84        0.20        0.32        2.40       69.56      -18.92     -561.00       10.48        7.82
  0.32        0.00        4.81        0.20        0.32        2.39       69.56      -18.92     -561.00       10.48        7.82
  0.33        0.00        4.79        0.20        0.32        2.37       69.56      -18.92     -561.00       10.48        7.82
  0.34        0.00        4.76        0.20        0.32        2.35       69.56      -18.92     -561.00       10.47        7.82
  0.35        0.00        4.73        0.20        0.32        2.34       69.56      -18.92     -561.00       10.47        7.81
  0.36        0.00        4.70        0.20        0.32        2.32       69.56      -18.92     -561.00       10.46        7.81
  0.37        0.00        4.67        0.20        0.32        2.30       69.56      -18.92     -561.00       10.46        7.81
  0.38        0.00        4.64        0.20        0.32        2.28       69.56      -18.92     -561.00       10.45        7.81
  0.39        0.00        4.61        0.20        0.31        2.26       69.56      -18.92     -561.00       10.45        7.81
  0.40        0.00        4.58        0.20        0.31        2.24       69.56      -18.92     -561.00       10.44        7.81
  0.41        0.00        4.55        0.20        0.31        2.22       69.56      -18.92     -561.00       10.44        7.81
  0.42        0.00        4.51        0.20        0.31        2.20       69.56      -18.92     -561.00       10.43        7.81
  0.43        0.00        4.47        0.20        0.31        2.18       69.56      -18.92     -561.00       10.43        7.81
  0.44        0.00        4.44        0.20        0.31        2.16       69.56      -18.92     -561.00       10.42        7.81
  0.45        0.00        4.40        0.20        0.31        2.13       69.56      -18.92     -561.00       10.42        7.81
  0.46        0.00        4.36        0.20        0.31        2.11       69.56      -18.92     -561.00       10.41        7.80
  0.47        0.00        4.31        0.20        0.31        2.08       69.56      -18.92     -561.00       10.40        7.80
  0.48        0.00        4.27        0.20        0.31        2.06       69.56      -18.92     -561.00       10.40        7.80
  0.49        0.00        4.23        0.20        0.31        2.03       69.56      -18.92     -561.00       10.39        7.80
  0.50        0.00        4.18        0.20        0.31        2.00       69.56      -18.92     -561.00       10.38        7.80
  0.51        0.00        4.13        0.20        0.31        1.97       69.56      -18.92     -561.00       10.37        7.80
  0.52        0.00        4.08        0.20        0.31        1.94       69.56      -18.92     -561.00       10.37        7.80
  0.53        0.00        4.03        0.20        0.31        1.91       69.56      -18.92     -561.00       10.36        7.80
  0.54        0.00        3.98        0.20        0.31        1.88       69.56      -18.92     -561.00       10.35        7.80
  0.55        0.00        3.92        0.20        0.31        1.84       69.56      -18.92     -561.00       10.34        7.80
  0.56        0.00        3.87        0.20        0.30        1.81       69.56      -18.92     -561.00       10.33        7.79
  0.57        0.00        3.81        0.20        0.30        1.77       69.56      -18.92     -561.00       10.32        7.79
  0.58        0.00        3.75        0.20        0.30        1.74       69.56      -18.92     -561.00       10.31        7.79
  0.59        0.00        3.68        0.20        0.30        1.70       69.56      -18.92     -561.00       10.30        7.79
  0.60        0.00        3.62        0.20        0.30        1.66       69.56      -18.92     -561.00       10.29        7.79
  0.61        0.00        3.55        0.20        0.30        1.62       69.66      -18.93     -561.55       10.28        7.79
  0.62        0.00        3.49        0.21        0.30        1.58       69.90      -18.96     -562.85       10.27        7.79
  0.63        0.00        3.42        0.21        0.30        1.53       70.13      -18.98     -564.15       10.26        7.79
  0.64        0.00        3.35        0.21        0.30        1.49       70.37      -19.01     -565.45       10.25        7.79
  0.65        0.00        3.27        0.22        0.30        1.45       70.61      -19.04     -566.76       10.24        7.79
  0.66        0.00        3.20        0.22        0.30        1.40       70.84      -19.06     -568.08       10.23        7.79
  0.67        0.00        3.12        0.23        0.29        1.35       71.08      -19.09     -569.41       10.21        7.78
  0.68        0.00        3.04        0.23        0.29        1.31       71.33      -19.12     -570.74       10.20        7.78
  0.69        0.00        2.96        0.23        0.29        1.26       71.57      -19.15     -572.08       10.19        7.78
  0.70        0.00        2.88        0.24        0.29        1.21       71.81      -19.17     -573.42       10.18        7.78
  0.71        0.00        2.80        0.24        0.29        1.16       72.06      -19.20     -574.77       10.17        7.78
  0.72        0.00        2.72        0.25        0.29        1.11       72.30      -19.23     -576.13       10.15        7.78
  0.73        0.00        2.63        0.25        0.29        1.05       72.55      -19.26     -577.50       10.14        7.78
  0.74        0.00        2.54        0.25        0.29        1.00       72.80      -19.28     -578.87       10.13        7.78
