     t       phi_c          AF          MA          CA          CN         CNQ         CLP         CMQ         XCP         XCG
  0.00        0.00        0.00        0.20        0.27        0.00       69.56      -18.92     -561.00        9.75        7.84
  0.01        0.00        3.99        0.20        0.31        1.88       69.56      -18.92     -561.00       10.35        7.84
  0.02        0.00        3.97        0.20        0.31        1.87       69.56      -18.92     -561.00       10.35        7.84
  0.03        0.00        3.96        0.20        0.31        1.87       69.56      -18.92     -561.00       10.35        7.84
  0.04        0.00        3.95        0.20        0.31        1.86       69.56      -18.92     -561.00       10.35        7.84
  0.05        0.00        3.93        0.20        0.31        1.85       69.56      -18.92     -561.00       10.34        7.84
  0.06        0.00        3.92        0.20        0.31        1.84       69.56      -18.92     -561.00       10.34        7.84
  0.07        0.00        3.91        0.20        0.31        1.83       69.56      -18.92     -561.00       10.34        7.84
  0.08        0.00        3.90        0.20        0.31        1.83       69.56      -18.92     -561.00       10.34        7.84
  0.09        0.00        3.88        0.20        0.31        1.82       69.56      -18.92     -561.00       10.33        7.84
  0.10        0.00        3.87        0.20        0.30        1.81       69.56      -18.92     -561.00       10.33        7.84
  0.11        0.00        3.86        0.20        0.30        1.80       69.56      -18.92     -561.00       10.33        7.83
  0.12        0.00        3.84        0.20        0.30        1.79       69.56      -18.92     -561.00       10.33        7.83
  0.13        0.00        3.83        0.20        0.30        1.79       69.56      -18.92     -561.00       10.33        7.83
  0.14        0.00        3.82        0.20        0.30        1.78       69.56      -18.92     -561.00       10.32        7.83
  0.15        0.00        3.80        0.20        0.30        1.77       69.56      -18.92     -561.00       10.32        7.83
  0.16        0.00        3.79        0.20        0.30        1.76       69.56      -18.92     -561.00       10.32        7.83
  0.17        0.00        3.78        0.20        0.30        1.75       69.56      -18.92     -561.00       10.32        7.83
  0.18        0.00        3.76        0.20        0.30        1.74       69.56      -18.92     -561.00       10.32        7.83
  0.19        0.00        3.75        0.20        0.30        1.74       69.56      -18.92     -561.00       10.31        7.83
  0.20        0.00        3.73        0.20        0.30        1.73       69.56      -18.92     -561.00       10.31        7.83
  0.21        0.00        3.72        0.20        0.30        1.72       69.56      -18.92     -561.00       10.31        7.83
  0.22        0.00        3.71        0.20        0.30        1.71       69.56      -18.92     -561.00       10.31        7.83
  0.23        0.00        3.69        0.20        0.30        1.70       69.56      -18.92     -561.00       10.30        7.82
  0.24        0.00        3.68        0.20        0.30        1.69       69.56      -18.92     -561.00       10.30        7.82
  0.25        0.00        3.66        0.20        0.30        1.68       69.56      -18.92     -561.00       10.30        7.82
  0.26        0.00        3.65        0.20        0.30        1.67       69.56      -18.92     -561.00       10.30        7.82
  0.27        0.00        3.63        0.20        0.30        1.66       69.56      -18.92     -561.00       10.30        7.82
  0.28        0.00        3.61        0.20        0.30        1.65       69.56      -18.92     -561.00       10.29        7.82
  0.29        0.00        3.60        0.20        0.30        1.64       69.56      -18.92     -561.00       10.29        7.82
  0.30        0.00        3.58        0.20        0.30        1.63       69.56      -18.92     -561.00       10.29        7.82
  0.31        0.00        3.56        0.20        0.30        1.62       69.56      -18.92     -561.00       10.29        7.82
  0.32        0.00        3.55        0.20        0.30        1.61       69.56      -18.92     -561.00       10.28        7.82
  0.33        0.00        3.53        0.20        0.30        1.60       69.56      -18.92     -561.00       10.28        7.82
  0.34        0.00        3.51        0.20        0.30        1.59       69.56      -18.92     -561.00       10.28        7.82
  0.35        0.00        3.49        0.20        0.30        1.58       69.56      -18.92     -561.00       10.27        7.81
  0.36        0.00        3.47        0.20        0.30        1.57       69.56      -18.92     -561.00       10.27        7.81
  0.37        0.00        3.45        0.20        0.30        1.56       69.56      -18.92     -561.00       10.27        7.81
  0.38        0.00        3.43        0.20        0.30        1.54       69.56      -18.92     -561.00       10.26        7.81
  0.39        0.00        3.41        0.20        0.30        1.53       69.56      -18.92     -561.00       10.26        7.81
  0.40        0.00        3.39        0.20        0.30        1.52       69.56      -18.92     -561.00       10.26        7.81
  0.41        0.00        3.37        0.20        0.30        1.50       69.56      -18.92     -561.00       10.25        7.81
  0.42        0.00        3.34        0.20        0.30        1.49       69.56      -18.92     -561.00       10.25        7.81
  0.43        0.00        3.32        0.20        0.30        1.48       69.56      -18.92     -561.00       10.25        7.81
  0.44        0.00        3.30        0.20        0.30        1.46       69.56      -18.92     -561.00       10.24        7.81
  0.45        0.00        3.27        0.20        0.30        1.44       69.56      -18.92     -561.00       10.24        7.81
  0.46        0.00        3.24        0.20        0.30        1.43       69.56      -18.92     -561.00       10.23        7.80
  0.47        0.00        3.22        0.20        0.30        1.41       69.56      -18.92     -561.00       10.23        7.80
  0.48        0.00        3.19        0.20        0.30        1.40       69.56      -18.92     -561.00       10.23        7.80
  0.49        0.00        3.16        0.20        0.30        1.38       69.56      -18.92     -561.00       10.22        7.80
  0.50        0.00        3.13        0.20        0.30        1.36       69.56      -18.92     -561.00       10.22        7.80
  0.51        0.00        3.10        0.20        0.29        1.34       69.56      -18.92     -561.00       10.21        7.80
  0.52        0.00        3.07        0.20        0.29        1.32       69.56      -18.92     -561.00       10.21        7.80
  0.53        0.00        3.04        0.20        0.29        1.30       69.56      -18.92     -561.00       10.20        7.80
  0.54        0.00        3.00        0.20        0.29        1.28       69.56      -18.92     -561.00       10.20        7.80
  0.55        0.00        2.97        0.20        0.29        1.26       69.56      -18.92     -561.00       10.19        7.80
  0.56        0.00        2.93        0.20        0.29        1.24       69.56      -18.92     -561.00       10.19        7.79
  0.57        0.00        2.89        0.20        0.29        1.22       69.56      -18.92     -561.00       10.18        7.79
  0.58        0.00        2.86        0.20        0.29        1.19       69.56      -18.92     -561.00       10.17        7.79
  0.59        0.00        2.82        0.20        0.29        1.17       69.56      -18.92     -561.00       10.17        7.79
  0.60        0.00        2.78        0.20        0.29        1.14       69.56      -18.92     -561.00       10.16        7.79
  0.61        0.00        2.74        0.20        0.29        1.12       69.56      -18.92     -561.00       10.16        7.79
  0.62        0.00        2.69        0.20        0.29        1.09       69.56      -18.92     -561.00       10.15        7.79
  0.63        0.00        2.65        0.20        0.29        1.07       69.74      -18.94     -561.97       10.14        7.79
  0.64        0.00        2.61        0.21        0.29        1.04       69.97      -18.97     -563.24       10.14        7.79
  0.65        0.00        2.56        0.21        0.29        1.01       70.20      -18.99     -564.51       10.13        7.79
  0.66        0.00        2.51        0.21        0.29        0.98       70.43      -19.02     -565.80       10.12        7.79
  0.67        0.00        2.47        0.22        0.29        0.95       70.66      -19.04     -567.09       10.11        7.78
  0.68        0.00        2.42        0.22        0.29        0.92       70.90      -19.07     -568.38       10.11        7.78
  0.69        0.00        2.37        0.23        0.28        0.89       71.13      -19.10     -569.69       10.10        7.78
  0.70        0.00        2.32        0.23        0.28        0.86       71.37      -19.12     -571.00       10.09        7.78
  0.71        0.00        2.26        0.23        0.28        0.83       71.61      -19.15     -572.31       10.08        7.78
  0.72        0.00        2.21        0.24        0.28        0.80       71.85      -19.18     -573.64       10.07        7.78
  0.73        0.00        2.16        0.24        0.28        0.77       72.09      -19.20     -574.96       10.07        7.78
  0.74        0.00        2.10        0.25        0.28        0.73       72.33      -19.23     -576.30       10.06        7.78
  0.75        0.00        2.04        0.25        0.28        0.70       72.58      -19.26     -577.64       10.05        7.78
  0.76        0.00        1.99        0.25        0.28        0.67       72.82      -19.29     -578.99       10.04        7.77
  0.77        0.00        1.93        0.26        0.28        0.65       73.06      -19.31     -580.35       10.03        7.77
  0.78        0.00        1.87        0.26        0.28        0.63       73.31      -19.34     -581.71       10.03        7.77
  0.79        0.00        1.81        0.27        0.28        0.61       73.56      -19.37     -583.08       10.02        7.77
